시설물명,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,동,발생건수,사상자수,사망및중상자수,사망자수,중상자수,경상자수,총인구수,0~4세,5~9세,10~14세,어린이 총인구,어린이 비율(%),p_wide,p_narrow,p_barrier_yes,p_barrier_no,road_width_relative,sidewalk_ratio,parked_density,accident_label,structure_risk
낙생초등학교,37.394357,127.098914,7,14,23,2,15,19,13,1,7,판교동,0,0,0,0,0,0,26365,1085,1499,2016,4600,17.447373411720083,0.9003775,0.10142219,0.9568949,0.043920964,0.36399183,0.2949231617538492,0,0,0.38417475672495704
신백현초등학교,37.387579,127.111751,5,8,35,0,16,22,6,2,6,백현동,0,0,0,0,0,0,26316,731,937,1551,3219,12.232102143182855,0.76931393,0.23522204,0.8816756,0.11895573,0.19808236,0.23671822428702,0,0,0.2779724351523795
성남은행초등학교,37.461002,127.170901,3,10,2,1,23,11,1,1,3,은행동,0,0,0,0,0,0,30267,400,549,880,1829,6.042884990253411,0.30465794,0.70025045,0.37877887,0.6227013,0.47128093,0.1839698314629286,2,0,0.3944526490756947
성남중앙초등학교,37.436255,127.143529,6,16,13,5,13,16,5,1,6,성남동,0,0,0,0,0,0,31835,480,451,702,1633,5.129574367834145,0.1751858,0.8273268,0.050835103,0.9498756,0.28582168,0.0,2,0,0.4564849738214605
단남초등학교,37.442905,127.161374,5,17,30,10,21,38,15,1,6,금광동,0,0,0,0,0,0,43046,1564,1577,1276,4417,10.261116015425358,0.9644876,0.035728455,0.9015237,0.0989123,0.37652028,0.2257974644842032,0,0,0.4965028516694626
대일초등학교,37.438468,127.164185,1,6,15,1,15,37,1,1,1,상대원동,0,0,0,0,0,0,36419,596,682,1083,2361,6.4828798154809295,0.1307714,0.87021273,0.116161525,0.88304245,0.39697415,0.0,1,0,0.38358867234843824
대하초등학교,37.431908,127.151304,2,8,12,1,17,14,2,1,2,하대원동,0,0,0,0,0,0,19542,468,503,691,1662,8.504758980657048,0.9787874,0.02112773,0.86955065,0.13060194,0.3942126,0.278807539948308,2,0,0.6082460750993207
성남북초등학교,37.4515,127.151474,4,22,22,6,28,23,10,3,5,산성동,0,0,0,0,0,0,4421,56,110,142,308,6.966749604161953,0.5309843,0.47318122,0.862272,0.13390565,0.41552716,0.0,0,0,0.2551580284291456
성남수정초등학교,37.436212,127.132786,5,5,31,0,8,33,6,1,5,수진동,0,0,0,0,0,0,25109,262,346,538,1146,4.564100521725278,0.4271981,0.57429206,0.82671666,0.1703771,0.27562046,0.2183011749178035,1,0,0.15994699711241794
수진초등학교,37.444944,127.133465,6,18,26,1,38,40,8,4,5,태평동,0,0,0,0,0,0,49641,576,704,1160,2440,4.915291795088737,0.086028844,0.914101,0.23287302,0.7675667,0.39732486,0.0,2,0,0.3246187050298886
성남서초등학교,37.448545,127.129403,7,6,14,2,10,16,7,1,6,태평동,0,0,0,0,0,0,49641,576,704,1160,2440,4.915291795088737,0.65698427,0.3449471,0.61983776,0.37722027,0.43095735,0.2465784087663328,0,0,0.4228120549124909
위례푸른초등학교,37.470731,127.150981,0,11,22,3,25,8,6,1,0,위례동,3,3,1,0,1,1,45473,1745,2348,2732,6825,15.008906384008093,0.91638047,0.086423695,0.8557311,0.14519912,0.3836952,0.2011574881976832,0,1,0.49356076593725867
금상초등학교,37.443599,127.165995,5,10,8,8,15,41,12,2,3,금광동,0,0,0,0,0,0,43046,1564,1577,1276,4417,10.261116015425358,0.7747913,0.22889972,0.7655672,0.23762462,0.3978011,0.211269762177006,0,0,0.4307853148978081
상원초등학교,37.453884,127.162776,4,15,27,4,13,28,5,2,4,은행동,0,0,0,0,0,0,30267,400,549,880,1829,6.042884990253411,0.2390905,0.76478004,0.41150194,0.58714235,0.4521258,0.0,0,0,0.2873068460308441
불정초등학교,37.361254,127.119496,6,2,10,2,8,13,2,1,4,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0.9829593,0.016521692,0.90074426,0.098689705,0.41289324,0.2545338290088479,0,0,0.5199906832661725
상탑초등학교,37.406207,127.145695,5,6,22,1,27,9,5,2,4,야탑동,0,0,0,0,0,0,58707,1716,1822,2214,5752,9.797809460541332,0.99454474,0.005599797,0.9093114,0.09111637,0.45349944,0.0,0,0,0.6149861821355854
서현초등학교,37.382576,127.12855,4,8,10,1,13,11,2,1,5,서현동,0,0,0,0,0,0,47922,1009,1736,2942,5687,11.867200868077292,0.5481838,0.45280313,0.30093825,0.6984401,0.40504596,0.0,3,0,0.7064454962152271
성남장안초등학교,37.372662,127.144459,4,10,20,1,22,15,1,1,4,분당동,0,0,0,0,0,0,24396,533,807,1282,2622,10.74766355140187,0.06789851,0.9301393,0.4178446,0.5826516,0.2841161,0.0,0,0,0.14185382131145702
안말초등학교,37.393154,127.125984,7,6,24,2,15,15,11,1,7,이매동,0,0,0,0,0,0,37333,1021,1472,2187,4680,12.535826212734042,0.3816892,0.60947603,0.16165358,0.83209586,0.0,0.0,1,0,0.3992857199766741
야탑초등학교,37.416616,127.125627,6,3,21,6,15,11,7,1,6,야탑동,0,0,0,0,0,0,58707,1716,1822,2214,5752,9.797809460541332,0.98212826,0.018040478,0.9321525,0.06934598,0.4326257,0.3002523810115999,0,0,0.4951560805611825
오리초등학교,37.344351,127.115379,4,9,7,1,12,9,11,2,4,구미동,0,0,0,0,0,0,44070,1127,1239,1811,4177,9.478103017926026,0.97308314,0.027836382,0.74574506,0.25445956,0.4843532,0.0,0,0,0.6999683072972513
청솔초등학교,37.354657,127.1141,5,6,8,1,9,6,6,1,4,금곡동,0,0,0,0,0,0,26767,673,828,1002,2503,9.35106661187283,0.9793891,0.020708472,0.9292588,0.07046813,0.44545698,0.052151009559915,0,0,0.572593218365581
당촌초등학교,37.373689,127.131262,5,2,13,1,5,8,4,1,5,분당동,0,0,0,0,0,0,24396,533,807,1282,2622,10.74766355140187,0.38491774,0.62199783,0.31918192,0.68697894,0.40496612,0.0,0,0,0.4342841488518221
한솔초등학교,37.366777,127.118015,3,1,9,1,3,13,0,1,1,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0.073461264,0.9280616,0.14458534,0.8557093,0.36739781,0.0,2,0,0.35167495626223605
수내초등학교,37.367765,127.124663,3,6,11,1,7,14,9,2,3,수내동,0,0,0,0,0,0,41451,627,2068,3457,6152,14.841620226291283,0.9975542,0.0024609566,0.9294025,0.06953314,0.5347605,0.280048857175776,0,0,0.5596580988747472
성남송현초등학교,37.405458,127.116346,4,9,38,3,14,8,4,1,6,삼평동,0,0,0,0,0,0,23593,923,1095,1366,3384,14.343237400924004,0.7186433,0.28296587,0.93734926,0.06215629,0.4808179,0.166043499817932,0,0,0.3330624243278711
판교초등학교,37.387282,127.091443,5,15,26,1,17,16,9,1,5,판교동,0,0,0,0,0,0,26365,1085,1499,2016,4600,17.447373411720083,0.4118662,0.5882482,0.5440995,0.4608934,0.4410699,0.0,0,0,0.340976271102314
성남동초등학교,37.449215,127.162178,1,16,15,0,18,25,4,1,1,금광동,0,0,0,0,0,0,43046,1564,1577,1276,4417,10.261116015425358,0.08361152,0.91735137,0.062282324,0.9378862,0.0,0.0,2,0,0.26731973092690214
태평초등학교,37.444953,127.131694,9,19,32,2,31,38,10,4,9,태평동,0,0,0,0,0,0,49641,576,704,1160,2440,4.915291795088737,0.023994982,0.97660786,0.06073153,0.9401377,0.40443867,0.0,0,0,0.29491721004295457
성수초등학교,37.433766,127.127238,3,5,8,5,3,29,3,1,3,수진동,0,0,0,0,0,0,25109,262,346,538,1146,4.564100521725278,0.16070604,0.8375927,0.13041168,0.86775684,0.30538607,0.0,2,0,0.4049865514545954
금빛초등학교,37.447331,127.140567,5,17,22,2,22,64,3,1,5,태평동,3,3,0,0,0,3,49641,576,704,1160,2440,4.915291795088737,0.2656963,0.7407607,0.08267254,0.9189594,0.38173008,0.0570728166818501,0,1,0.4494498911211732
성남초등학교,37.446085,127.144145,7,12,30,3,16,40,5,2,5,태평동,0,0,0,0,0,0,49641,576,704,1160,2440,4.915291795088737,0.12234968,0.877164,0.1552693,0.8450694,0.4045322,0.0,3,0,0.44352695379588053
검단초등학교,37.429483,127.144034,4,15,8,1,11,20,5,1,4,하대원동,0,0,0,0,0,0,19542,468,503,691,1662,8.504758980657048,0.09956941,0.9021256,0.036631048,0.9626555,0.41032642,0.0,3,0,0.4986599953114031
서당초등학교,37.374602,127.134587,4,7,35,2,16,13,4,1,4,서현동,0,0,0,0,0,0,47922,1009,1736,2942,5687,11.867200868077292,0.69857645,0.31184378,0.59141445,0.41746542,0.0,0.2254009020283098,0,0,0.3066084414343768
성남정자초등학교,37.374517,127.104912,2,6,6,2,4,2,2,1,2,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0.94132876,0.059459895,0.7911638,0.21057674,0.41141486,0.237616898841296,0,0,0.5553158257393932
양영초등학교,37.37466,127.140091,3,13,29,1,28,19,1,1,3,서현동,0,0,0,0,0,0,47922,1009,1736,2942,5687,11.867200868077292,0.01119861,0.98877096,0.026031673,0.97423303,0.0,0.0,2,0,0.23721641949030856
초림초등학교,37.376826,127.117592,0,2,7,1,12,13,3,1,0,수내동,0,0,0,0,0,0,41451,627,2068,3457,6152,14.841620226291283,0.37672514,0.6340346,0.47137552,0.5372518,0.0,0.0,1,0,0.23477338022658525
판교대장초등학교,37.368279,127.069713,0,16,33,2,34,24,11,0,0,운중동,0,0,0,0,0,0,38266,2013,2153,2153,6319,16.51335389118277,0.9875657,0.012482703,0.9663458,0.033768207,0.4845987,0.3239733974220959,0,0,0.4943283883403487
미래유치원,37.452885,127.150066,2,14,14,4,20,18,6,2,2,산성동,0,0,0,0,0,0,4421,56,110,142,308,6.966749604161953,0.38155922,0.6259513,0.2708698,0.726864,0.39063835,0.21170892212583,0,0,0.3936862982477074
성체유치원,37.439656,127.137203,3,3,12,2,13,36,3,0,2,수진동,3,3,1,0,1,2,25109,262,346,538,1146,4.564100521725278,0.35524505,0.64842665,0.2945025,0.71078897,0.0,0.0,0,1,0.26838904632907806
신흥성모유치원,37.449077,127.143242,11,14,26,4,28,51,7,1,9,신흥동,3,3,0,0,0,3,54351,1844,1692,1524,5060,9.309856304391824,0.020736039,0.97985476,0.046471387,0.9544039,0.26241893,0.0,1,1,0.28638862286065964
은솔유치원,37.467824,127.138154,0,12,2,4,6,14,6,0,0,위례동,0,0,0,0,0,0,45473,1745,2348,2732,6825,15.008906384008093,0.90529144,0.093102366,0.50662965,0.49109992,0.44749904,0.210243079339509,1,0,0.7440207853906065
위례새초롱유치원,37.469683,127.147866,0,17,28,2,29,14,7,2,0,위례동,0,0,0,0,0,0,45473,1745,2348,2732,6825,15.008906384008093,0.83339345,0.16824618,0.6105318,0.39300042,0.39254397,0.0,0,0,0.6318978139942666
위례하늘유치원,37.467037,127.151134,0,7,12,1,11,10,5,0,0,위례동,0,0,0,0,0,0,45473,1745,2348,2732,6825,15.008906384008093,0.655385,0.3464185,0.8163206,0.18346635,0.3813999,0.273937444266227,0,0,0.28620843575579336
고등나래 유치원,37.426969,127.096496,0,5,11,4,10,17,6,1,0,고등동,0,0,0,0,0,0,11797,552,609,383,1544,13.088073238959058,0.14380139,0.86027074,0.31712264,0.6831179,0.4720374,0.22290336191,0,0,0.22567731934511295
은서유치원,37.443605,127.134977,5,9,13,3,29,36,7,2,5,태평동,3,3,1,0,1,2,49641,576,704,1160,2440,4.915291795088737,0.04201415,0.9587014,0.044731587,0.9557439,0.34907869,0.0,0,1,0.29607350338185817
선경유치원,37.450411,127.162262,1,17,27,3,22,25,6,2,1,은행동,0,0,0,0,0,0,30267,400,549,880,1829,6.042884990253411,0.09554851,0.90598655,0.06489715,0.9350058,0.0,0.0,5,0,0.3928128824749493
예원유치원,37.435032,127.143201,5,12,12,2,14,17,5,1,5,성남동,0,0,0,0,0,0,31835,480,451,702,1633,5.129574367834145,0.6639563,0.33965766,0.8916637,0.110121995,0.4213501,0.2475276191442159,0,0,0.27516520021933294
다솜유치원,37.447962,127.163685,3,15,11,1,19,35,4,1,3,금광동,0,0,0,0,0,0,43046,1564,1577,1276,4417,10.261116015425358,0.3050911,0.692434,0.1097514,0.8886798,0.4214756,0.0,2,0,0.5891493473138547
도촌유치원,37.413897,127.149775,5,6,20,1,7,13,5,0,5,도촌동,0,0,0,0,0,0,25878,714,1005,1359,3078,11.894273127753303,0.99712646,0.0028618574,0.9415245,0.05839309,0.39627814,0.252751853602215,1,0,0.5453571933864583
아름다운유치원,37.367591,127.125773,3,6,10,1,6,14,9,2,3,수내동,0,0,0,0,0,0,41451,627,2068,3457,6152,14.841620226291283,0.8261675,0.17346206,0.75066227,0.25288042,0.44311714,0.0,2,0,0.65007355105438
안촌 유치원,37.368171,127.110392,4,7,12,2,11,18,0,1,3,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0.81449777,0.18256715,0.4406104,0.55422115,0.35172606,0.0,3,0,0.7954962574132336
세화유치원,37.372737,127.136164,5,6,37,1,22,11,3,1,5,서현동,0,0,0,0,0,0,47922,1009,1736,2942,5687,11.867200868077292,0.55395615,0.4510649,0.42111734,0.57115257,0.46937484,0.0,1,0,0.5881890538226402
분당중앙유치원,37.373451,127.141671,4,15,29,3,34,21,2,2,4,서현동,0,0,0,0,0,0,47922,1009,1736,2942,5687,11.867200868077292,0.99582565,0.00424096,0.95115435,0.047694087,0.36275086,0.198122436058392,0,0,0.49529049332433467
꿈터 유치원,37.347269,127.113122,2,7,18,2,14,15,10,2,4,구미동,0,0,0,0,0,0,44070,1127,1239,1811,4177,9.478103017926026,0.24055097,0.7617539,0.34469795,0.65525484,0.18739492,0.0,2,0,0.3021251232526136
배성유치원,37.405999,127.142401,3,6,17,1,17,8,2,2,2,야탑동,0,0,0,0,0,0,58707,1716,1822,2214,5752,9.797809460541332,0.37325287,0.6280198,0.6127565,0.3843397,0.33800584,0.229659997846536,0,0,0.19676417865488152
이솔유치원,37.352756,127.112602,5,8,12,2,14,9,5,1,5,금곡동,0,0,0,0,0,0,26767,673,828,1002,2503,9.35106661187283,0.66944146,0.3313627,0.6279649,0.37697843,0.39841592,0.0,0,0,0.4864746516214324
성모 유치원,37.340099,127.124419,1,2,4,0,4,7,0,0,1,구미동,0,0,0,0,0,0,44070,1127,1239,1811,4177,9.478103017926026,0.888423,0.11298841,0.8460468,0.15436736,0.40680456,0.288430356141368,0,0,0.45985662065332134
판교샘유치원,37.392021,127.072039,2,19,9,0,15,19,1,1,4,운중동,0,0,0,0,0,0,38266,2013,2153,2153,6319,16.51335389118277,0.07765913,0.92283607,0.06644943,0.93289155,0.21290633,0.0,1,0,0.29904759093431077
건영장안유치원,37.371127,127.140849,6,18,30,1,30,15,9,0,6,분당동,0,0,0,0,0,0,24396,533,807,1282,2622,10.74766355140187,0.1842424,0.8187193,0.12299645,0.8749206,0.38415602,0.0,2,0,0.4624752090726758
뽀뽀뽀유치원,37.415425,127.138017,6,14,39,2,12,9,4,1,6,야탑동,0,0,0,0,0,0,58707,1716,1822,2214,5752,9.797809460541332,0.15961808,0.84492147,0.24997303,0.7507262,0.333022,0.0,0,0,0.2705987936718635
창조유치원,37.359154,127.124992,1,4,0,0,10,30,0,0,1,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0.2266731,0.7788693,0.28217384,0.7208257,0.39424032,0.0,1,0,0.3645742532356926
해나유치원,37.390831,127.09829,5,12,17,1,17,18,2,0,4,판교동,0,0,0,0,0,0,26365,1085,1499,2016,4600,17.447373411720083,0.15227687,0.8489685,0.17742777,0.8216609,0.47309187,0.0,1,0,0.3967113405245557
꾸러기유치원,37.403847,127.127335,3,4,19,1,10,9,4,0,3,이매동,0,0,0,0,0,0,37333,1021,1472,2187,4680,12.535826212734042,0.222085,0.77610123,0.078344196,0.9222332,0.4346437,0.0,2,0,0.5436975753574442
샛별유치원,37.371468,127.129754,2,4,6,1,4,7,4,1,2,분당동,0,0,0,0,0,0,24396,533,807,1282,2622,10.74766355140187,0.9838,0.016550034,0.7901973,0.20793894,0.4986974,0.174933839032965,0,0,0.6443113834229015
성마르코유치원,37.410832,127.133182,4,8,6,0,17,23,8,0,6,야탑동,0,0,0,0,0,0,58707,1716,1822,2214,5752,9.797809460541332,0.27112055,0.735145,0.32435754,0.68606335,0.32539874,0.1989497213326809,1,0,0.29757917420375585
은혜유치원,37.360908,127.111946,5,13,11,3,11,15,0,0,6,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0.6146027,0.3934758,0.5072231,0.48510617,0.41749826,0.0,3,0,0.6510632467084274
숲리라유치원,37.469683,127.147866,0,17,28,2,29,14,7,2,0,판교동,0,0,0,0,0,0,26365,1085,1499,2016,4600,17.447373411720083,0.83339345,0.16824618,0.6105318,0.39300042,0.39254397,0.0,0,0,0.6318978139942666
즐거운유치원,37.351408,127.111941,4,7,12,4,15,14,5,0,4,금곡동,0,0,0,0,0,0,26767,673,828,1002,2503,9.35106661187283,0.9450259,0.056132436,0.9025335,0.09522566,0.41538292,0.2145692891349792,0,0,0.4992328187392318
희영유치원,37.388294,127.114186,7,10,35,2,16,21,8,3,7,백현동,0,0,0,0,0,0,26316,731,937,1551,3219,12.232102143182855,0.9506408,0.04945481,0.8562432,0.14715382,0.36192536,0.2290043616315,0,0,0.5050472828439089
혜성유치원,37.444509,127.160252,4,6,20,6,10,39,13,1,10,금광동,0,0,0,0,0,0,43046,1564,1577,1276,4417,10.261116015425358,0.3055244,0.70496845,0.23305568,0.76696,0.0,0.0,2,0,0.33974407018330394
단대어린이집,37.449645,127.155665,5,16,19,0,23,37,8,1,8,단대동,0,0,0,0,0,0,14162,295,336,497,1128,7.964976698206468,0.7407368,0.25859377,0.60391754,0.3940317,0.40949696,0.2895791926403329,0,0,0.4818021027561728
산성어린이집,37.453007,127.150387,2,15,14,4,20,19,7,2,2,산성동,0,0,0,0,0,0,4421,56,110,142,308,6.966749604161953,0.14388505,0.8560545,0.24243656,0.7571968,0.45205116,0.0,3,0,0.4294614244962379
성남어린이집,37.447702,127.141485,8,19,27,4,30,67,5,3,6,태평동,3,3,0,0,0,3,49641,576,704,1160,2440,4.915291795088737,0.43321294,0.5703714,0.3302567,0.673087,0.42211992,0.0,0,1,0.4759310512934274
성현어린이집,37.438454,127.138715,4,3,7,2,12,33,3,0,3,수진동,0,0,0,0,0,0,25109,262,346,538,1146,4.564100521725278,0.05173397,0.9484103,0.033171892,0.96677434,0.3360579,0.0,2,0,0.3850612693877793
신흥제2어린이집,37.449202,127.144413,10,11,27,6,22,38,9,1,8,신흥동,0,0,0,0,0,0,54351,1844,1692,1524,5060,9.309856304391824,0.14384815,0.85696954,0.14761901,0.8505872,0.31277367,0.0,0,0,0.3035124488885984
리플플러스어린이집,37.44181,127.128384,13,3,2,7,4,33,9,0,9,태평동,0,0,0,0,0,0,49641,576,704,1160,2440,4.915291795088737,0.063631505,0.9372442,0.013496846,0.98640364,0.37334436,0.0,1,0,0.378824088603465
한양어린이집,37.435594,127.1281,2,6,12,4,5,36,2,1,2,수진동,0,0,0,0,0,0,25109,262,346,538,1146,4.564100521725278,0.039639235,0.9605726,0.01903218,0.9808984,0.40374935,0.0,0,0,0.32796978254966364
신흥제3어린이집,37.443531,127.148854,5,13,23,4,12,30,6,0,5,신흥동,0,0,0,0,0,0,54351,1844,1692,1524,5060,9.309856304391824,0.48500514,0.52374053,0.13495597,0.8660145,0.0,0.0,1,0,0.5027250856088585
복정어린이집,37.461129,127.130488,0,12,18,1,9,8,1,1,0,복정동,0,0,0,0,0,0,10453,236,183,185,604,5.778245479766574,0.019514322,0.9805684,0.18785593,0.8139975,0.38997704,0.0,0,0,0.22754872887848918
복정2어린이집,37.463264,127.129126,1,14,22,2,14,16,1,1,1,복정동,0,0,0,0,0,0,10453,236,183,185,604,5.778245479766574,0.40970623,0.6011587,0.25510228,0.74184775,0.4458895,0.0,1,0,0.556470653283272
아이세상 어린이집,37.4422,127.134779,2,8,17,5,22,37,5,0,2,태평동,3,3,1,0,1,2,49641,576,704,1160,2440,4.915291795088737,0.041622072,0.9577699,0.044819146,0.9536614,0.44664147,0.0,2,1,0.41559023105116244
다솜어린이집,37.434004,127.166096,2,0,0,0,3,13,2,0,2,상대원동,0,0,0,0,0,0,36419,596,682,1083,2361,6.4828798154809295,0.8122128,0.18749788,0.21102506,0.7882642,0.39601216,0.0,0,0,0.8098449450799481
중앙동어린이집,37.442671,127.156555,6,7,19,2,14,35,6,0,9,중앙동,0,0,0,0,0,0,16585,681,624,601,1906,11.492312330419054,0.70412403,0.29512584,0.37750384,0.6251769,0.4642008,0.0,0,0,0.6877064413038855
금광2동제2어린이집,37.448432,127.163031,2,16,14,0,19,33,4,1,2,금광동,0,0,0,0,0,0,43046,1564,1577,1276,4417,10.261116015425358,0.012554854,0.98731875,0.027832538,0.97249144,0.29947758,0.0,0,0,0.26675235900921895
하대원어린이집,37.427838,127.149429,3,1,0,2,4,18,3,0,2,하대원동,0,0,0,0,0,0,19542,468,503,691,1662,8.504758980657048,0.049912155,0.95047677,0.15412658,0.8446193,0.3537142,0.0,3,0,0.36358326350309583
서광어린이집,37.405702,127.14948,2,2,11,0,16,4,6,0,4,야탑동,0,0,0,0,0,0,58707,1716,1822,2214,5752,9.797809460541332,0.9047284,0.09353116,0.8830446,0.11662763,0.4679925,0.3240590911028034,0,0,0.46705271829754996
분당어린이집,37.368598,127.143274,5,6,0,0,5,24,11,0,5,분당동,0,0,0,0,0,0,24396,533,807,1282,2622,10.74766355140187,0.9266169,0.07539004,0.89957464,0.09744093,0.38440418,0.2917088271942888,0,0,0.4494054812116257
서현어린이집,37.382447,127.126079,1,7,8,2,12,12,3,1,1,서현동,0,0,0,0,0,0,47922,1009,1736,2942,5687,11.867200868077292,0.98792815,0.011648774,0.91101396,0.08768234,0.44095105,0.231746169708402,0,0,0.5367040832585827
성남생명숲어린이집,37.371025,127.115253,1,8,6,0,9,25,1,0,1,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0.55308306,0.44431773,0.15754968,0.8407959,0.47550032,0.0,3,0,0.7967767309577819
갈보리어린이집,37.390494,127.132889,0,10,4,1,5,9,0,0,0,이매동,0,0,0,0,0,0,37333,1021,1472,2187,4680,12.535826212734042,0.78629625,0.21182144,0.8904278,0.11022985,0.36064744,0.0,0,0,0.411139191952559
휴맥스어린이집,37.370358,127.095881,0,3,0,0,2,5,0,0,0,금곡동,0,0,0,0,0,0,26767,673,828,1002,2503,9.35106661187283,0.8611337,0.138466,0.76759803,0.23391369,0.38601613,0.2226808484529882,0,0,0.49466587499193776
늘사랑어린이집,37.408334,127.122855,4,3,11,1,9,9,4,0,4,야탑동,0,0,0,0,0,0,58707,1716,1822,2214,5752,9.797809460541332,0.33084035,0.6691409,0.20472655,0.787838,0.0,0.0,2,0,0.3755465128855496
삼평어린이집,37.406109,127.115836,4,8,34,3,13,9,4,1,6,삼평동,0,0,0,0,0,0,23593,923,1095,1366,3384,14.343237400924004,0.5923061,0.40605876,0.69403756,0.30919963,0.3633142,0.1806803072641924,0,0,0.320182214548318
판교제2어린이집,37.391851,127.090871,3,7,6,1,6,20,5,0,3,판교동,0,0,0,0,0,0,26365,1085,1499,2016,4600,17.447373411720083,0.9928137,0.0073491335,0.89608586,0.10173401,0.43898916,0.2547640618989183,0,0,0.5423479450010756
수내동어린이집,37.379099,127.114714,4,1,3,2,4,15,3,0,4,수내동,0,0,0,0,0,0,41451,627,2068,3457,6152,14.841620226291283,0.4390271,0.56976354,0.51074547,0.48803395,0.41343677,0.3156591153604572,0,0,0.2883199462765917
구미동어린이집,37.344538,127.112319,3,2,7,1,9,12,4,2,3,구미동,0,0,0,0,0,0,44070,1127,1239,1811,4177,9.478103017926026,0.9345906,0.066942096,0.9225535,0.076087356,0.38874602,0.2335119760615656,0,0,0.46111496687862263
