시설물명,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,어린이 비율(%),발생건수,structure_risk
늘푸른초등학교,37.358334,127.105671,0.5608800086078953,-0.0933265432204183,-0.0885315970007253,-0.5000874003977321,-0.324357326137266,-1.462103456194223,-0.3703385931096312,1.210695588900589,0.5318273760798209,0.0886335584840252,0,0.47604461366254736
보평초등학교,37.396039,127.117758,0.5608800086078953,0.9260864673410736,-0.0885315970007253,0.2280996954310509,-0.6570708043562525,0.1497044163407634,0.5159773656808347,0.2260727461504749,0.1168851375999606,1.1685808776475637,0,-0.2194849683380062
운중초등학교,37.392419,127.06894,1.377751405759907,3.474618993744803,1.7217624984701088,0.2280996954310509,0.397403214365252,0.6406595010414018,-0.3703385931096312,0.2260727461504749,1.3617118530395411,1.7932016646999858,0,-1.5060477108285624
낙생초등학교,37.394357,127.098914,1.377751405759907,0.7561842989141582,0.6154716623490435,0.2280996954310509,0.2968871487593441,0.3295115223173138,2.2886092832617666,0.2260727461504749,1.3617118530395411,2.0620388495511897,0,-0.4586769518648903
신백현초등학교,37.387579,127.111751,0.5608800086078953,-0.2632287116473336,1.8223343926629327,-1.7449314629334605,0.397403214365252,0.5680277276266412,0.2205387127506794,1.210695588900589,0.9467696145596812,0.5609365543204062,0,-1.1251610096594737
성남은행초등학교,37.461002,127.170901,-0.2559913885441162,0.0765756252064969,-1.496538115700263,-0.5000874003977321,0.9691512583963652,-0.5422579113700216,-1.2566545519000971,0.2260727461504749,-0.2980571008798995,-1.220494860377597,0,-0.4561049052880323
성남중앙초등학교,37.436255,127.143529,0.969315707183901,1.0959886357679889,-0.3902472795791977,1.472943757966779,0.0754911248445833,0.0521584911846189,-0.0748999401794758,0.2260727461504749,0.9467696145596812,-1.483371439749995,0,0.06264057481178044
단남초등학교,37.442905,127.161374,0.5608800086078953,1.265890804194904,1.3194749216988122,2.561521447275543,0.8248857600575533,1.4692218399750487,2.879486589122077,0.2260727461504749,0.9467696145596812,-0.0063688930671178,0,0.334432580081956
대일초등학교,37.438468,127.164185,-1.0728627856961277,-0.6030330485011642,-0.1891034911935494,-0.5000874003977321,0.2968871487593441,1.4248923584103237,-1.2566545519000971,0.2260727461504749,-1.12794157783962,-1.0938519288731068,0,-0.3675771863250347
대하초등학교,37.431908,127.151304,-0.664427087120122,-0.2632287116473336,-0.4908191737720218,-0.5000874003977321,0.4921722818385661,-0.1614435623833238,-0.9612158989699418,0.2260727461504749,-0.7129993393597598,-0.5118980286349629,0,0.9530512153657181
성남북초등학교,37.4515,127.151474,0.1524443100318895,2.1154016463294805,0.5148997681562193,1.7497876432204005,1.2829158754962575,0.6406595010414018,1.4022933244713005,1.9092966135543623,0.5318273760798209,-0.9545805443213992,0,-1.2868005729669447
성남수정초등학교,37.436212,127.132786,0.5608800086078953,-0.7729352169280795,1.4200468158916364,-1.7449314629334605,-0.6570708043562525,1.2350759035960424,0.2205387127506794,0.2260727461504749,0.5318273760798209,-1.646130775665628,0,-1.8917371132792915
수진초등학교,37.444944,127.133465,0.969315707183901,1.4357929726218193,0.9171873449275156,-0.5000874003977321,1.7741267617662628,1.5545690778473806,0.81141601861099,2.451173666456634,0.5318273760798209,-1.5450480132614453,0,-0.880167361539479
성남서초등학교,37.448545,127.129403,1.377751405759907,-0.6030330485011642,-0.2896753853863736,0.2280996954310509,-0.324357326137266,0.0521584911846189,0.5159773656808347,0.2260727461504749,0.9467696145596812,-1.5450480132614453,0,-0.11538143267321625
위례푸른초등학교,37.470731,127.150981,-1.4812984842721335,0.2464777936334122,0.5148997681562193,0.7447566621379961,1.1018626521292425,-1.033212996070659,0.2205387127506794,0.2260727461504749,-1.5428838163194802,1.3601792024364738,3,0.3240939033973105
금상초등학교,37.443599,127.165995,0.5608800086078953,0.0765756252064969,-0.8931067505433183,2.2011308537955623,0.2968871487593441,1.595693696339409,1.9931706303316112,1.210695588900589,-0.2980571008798995,-0.0063688930671178,0,-0.09717380419827892
상원초등학교,37.453884,127.162776,0.1524443100318895,0.9260864673410736,1.0177592391203398,1.1455069396219677,0.0754911248445833,0.963617831985102,-0.0748999401794758,1.210695588900589,0.1168851375999606,-1.220494860377597,0,-0.9953729533547593
불정초등학교,37.361254,127.119496,0.969315707183901,-1.2826417222088256,-0.6919629621576701,0.2280996954310509,-0.6570708043562525,-0.2791860437828,-0.9612158989699418,0.2260727461504749,0.1168851375999606,0.0886335584840252,0,0.5035056124182693
상탑초등학교,37.406207,127.145695,0.5608800086078953,-0.6030330485011642,0.5148997681562193,-0.5000874003977321,1.2247342110394028,-0.8534058900941088,-0.0748999401794758,1.210695588900589,0.1168851375999606,-0.1397215984436386,0,1.2002186729870623
서현초등학교,37.382576,127.12855,0.1524443100318895,-0.2632287116473336,-0.6919629621576701,-0.5000874003977321,0.0754911248445833,-0.5422579113700216,-0.9612158989699418,0.2260727461504749,0.5318273760798209,0.4559076663892836,0,1.781410278593195
성남장안초등학교,37.372662,127.144459,0.1524443100318895,0.0765756252064969,0.3137559797705711,-0.5000874003977321,0.898587106952502,-0.0513028266693839,-1.2566545519000971,0.2260727461504749,0.1168851375999606,0.1336732227475159,0,-1.9090981518659544
안말초등학교,37.393154,127.125984,1.377751405759907,-0.6030330485011642,0.7160435565418676,0.2280996954310509,0.2968871487593441,-0.0513028266693839,1.697731977401456,0.2260727461504749,1.3617118530395411,0.6483569154952137,0,-0.23667399129105546
야탑초등학교,37.416616,127.125627,0.969315707183901,-1.1127395537819105,0.4143278739633952,1.7497876432204005,0.2968871487593441,-0.5422579113700216,0.5159773656808347,0.2260727461504749,0.9467696145596812,-0.1397215984436386,0,0.31469149397108476
