시설물명,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,동,발생건수,사상자수,사망및중상자수,사망자수,중상자수,경상자수,총인구수,0~4세,5~9세,10~14세,어린이 총인구,어린이 비율(%),p_wide,p_narrow,p_barrier_yes,p_barrier_no,road_width_relative,sidewalk_ratio,parked_density,accident_label,structure_risk,risk_prob,risk_score,safety_score,safety_grade
충현초등학교,37.432490073,126.884626583,0,7,0,2,7,2,30,1,14,소하동,0,0,0,0,0,0,54145,1089,1725,2722,5536,10.224397451288208,0.29200748,0.708997,0.18392244,0.81801367,0.0,0.0,4.0,0,0.34150811451408686,9.495739402546294e-07,9.495739402546294e-05,99.99990504260597,A
구름산초등학교,37.453765538,126.88443634,0,10,23,2,30,4,41,3,21,소하동,0,0,0,0,0,0,54145,1089,1725,2722,5536,10.224397451288208,0.97277343,0.02808395,0.86463535,0.13125947,0.42517215,0.2978608764728055,0.0,0,0.4354025130555569,2.8195806697960026e-07,2.8195806697960026e-05,99.9999718041933,A
하일초등학교,37.469301665,126.876139495,0,11,20,4,11,4,43,1,16,하안동,0,0,0,0,0,0,66369,1590,1990,2818,6398,9.640042791062092,0.9955723,0.00447011,0.80873805,0.1922422,0.4697246,0.188378668279732,0.0,0,0.5407820492656126,4.114062014980544e-08,4.114062014980545e-06,99.99999588593799,A
철산초등학교,37.46984647,126.873334063,0,12,34,4,15,4,53,1,18,철산동,0,0,0,0,0,0,69508,2254,2787,3666,8707,12.52661564136502,,,,,,,,0,0.3623528026659465,1.7312905400247778e-08,1.7312905400247777e-06,99.99999826870946,A
홍익어린이집,37.474168784,126.864568531,0,10,15,1,7,5,40,0,17,철산동,0,0,0,0,0,0,69508,2254,2787,3666,8707,12.52661564136502,,,,,,,,0,0.3623528026659465,1.6811974910753605e-08,1.6811974910753605e-06,99.99999831880251,A
빛가온유치원,37.416952326,126.888264888,0,4,12,0,9,0,35,0,10,일직동,0,0,0,0,0,0,21148,851,979,1264,3094,14.630225080385854,0.9197885,0.08263093,0.63933605,0.36798468,0.4550497,0.22592452037742,0.0,0,0.5675281559998359,6.773250656526796e-09,6.773250656526796e-07,99.99999932267494,A
구름산어린이집,37.468178692,126.865305483,0,12,21,0,11,1,17,0,17,철산동,0,0,0,0,0,0,69508,2254,2787,3666,8707,12.52661564136502,0.782777,0.22099957,0.15737605,0.84278595,0.434067,0.0,1.0,0,0.8039358666088768,4.4379531112000815e-09,4.4379531112000813e-07,99.99999955620468,A
안현초등학교,37.470454112,126.868184636,0,17,41,2,29,3,60,1,25,하안동,0,0,0,0,0,0,66369,1590,1990,2818,6398,9.640042791062092,0.96873504,0.032473683,0.83800894,0.16081858,0.47761714,0.2413283448038125,0.0,0,0.48628357278579176,2.079204011794292e-09,2.0792040117942918e-07,99.99999979207959,A
소하초등학교,37.447116781,126.888053937,0,16,19,4,35,5,93,0,32,소하동,0,0,0,0,0,0,54145,1089,1725,2722,5536,10.224397451288208,0.98713636,0.012842119,0.9016951,0.09766823,0.47622722,0.2470292146894259,0.0,0,0.4588706698529568,4.858114697627074e-10,4.8581146976270737e-08,99.99999995141884,A
광덕초등학교,37.472941774,126.867567576,1,15,32,2,23,5,69,1,26,철산동,0,0,0,0,0,0,69508,2254,2787,3666,8707,12.52661564136502,,,,,,,,0,0.3623528026659465,1.1128063695030592e-10,1.1128063695030593e-08,99.99999998887193,A
빛가온초등학교,37.413689906,126.882025537,0,13,19,2,14,8,47,1,30,일직동,0,0,0,0,0,0,21148,851,979,1264,3094,14.630225080385854,0.969144,0.031131357,0.68084,0.31866565,0.41209084,0.3002170271108891,2.0,0,0.6123051570195911,1.492586718381715e-11,1.492586718381715e-09,99.99999999850742,A
마리아어린이집,37.471790925,126.865684408,0,19,40,2,28,5,77,1,32,철산동,0,0,0,0,0,0,69508,2254,2787,3666,8707,12.52661564136502,0.3454876,0.6621797,0.26851034,0.73055243,0.20820907,0.0,0.0,0,0.2877846408400738,8.293988986486111e-12,8.293988986486112e-10,99.9999999991706,A
