시군명,사고년도,사고유형구분,다발지식별자,다발지역그룹식별자,법정동코드,위치코드,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,위도,경도,사고다발지역폴리곤정보,사고심각도
성남시,2022,보행노인사고다발지,6831143,2023057,4113110200,41131001,경기 성남시 수정구1,경기 성남시 수정구 태평동(중앙시장사거리 부근),5,5,0,5,0,0,37.44067708685,127.131913202644,"{""type"":""Polygon"",""coordinates"":[[[127.13370983,37.44067709],[127.13367531,37.44039879],[127.13357307,37.44013119],[127.13340705,37.43988456],[127.13318361,37.4396684],[127.13291136,37.43949099],[127.13260074,37.43935917],[127.13226371,37.43927799],[127.1319132,37.43925058],[127.1315627,37.43927799],[127.13122566,37.43935917],[127.13091505,37.43949099],[127.13064279,37.4396684],[127.13041936,37.43988456],[127.13025333,37.44013119],[127.13015109,37.44039879],[127.13011657,37.44067709],[127.13015109,37.44095538],[127.13025333,37.44122298],[127.13041936,37.4414696],[127.13064279,37.44168576],[127.13091505,37.44186316],[127.13122566,37.44199498],[127.1315627,37.44207616],[127.1319132,37.44210357],[127.13226371,37.44207616],[127.13260074,37.44199498],[127.13291136,37.44186316],[127.13318361,37.44168576],[127.13340705,37.4414696],[127.13357307,37.44122298],[127.13367531,37.44095538],[127.13370983,37.44067709]]]}",25
성남시,2022,보행노인사고다발지,6831110,2023057,4113310100,41133001,경기 성남시 중원구1,경기 성남시 중원구 성남동(모란삼거리 부근),6,6,0,6,0,0,37.433063143294,127.128276594014,"{""type"":""Polygon"",""coordinates"":[[[127.13007322,37.43306314],[127.1300387,37.43278482],[127.12993646,37.43251719],[127.12977044,37.43227054],[127.129547,37.43205435],[127.12927475,37.43187693],[127.12896413,37.43174509],[127.1286271,37.4316639],[127.12827659,37.43163649],[127.12792609,37.4316639],[127.12758905,37.43174509],[127.12727844,37.43187693],[127.12700618,37.43205435],[127.12678275,37.43227054],[127.12661672,37.43251719],[127.12651449,37.43278482],[127.12647996,37.43306314],[127.12651449,37.43334147],[127.12661672,37.43360909],[127.12678275,37.43385574],[127.12700618,37.43407192],[127.12727844,37.43424934],[127.12758905,37.43438117],[127.12792609,37.43446236],[127.12827659,37.43448977],[127.1286271,37.43446236],[127.12896413,37.43438117],[127.12927475,37.43424934],[127.129547,37.43407192],[127.12977044,37.43385574],[127.12993646,37.43360909],[127.1300387,37.43334147],[127.13007322,37.43306314]]]}",30
성남시,2022,보행노인사고다발지,6831241,2023057,4113310300,41133003,경기 성남시 중원구3,경기 성남시 중원구 금광동(단대오거리 부근),5,5,0,5,0,0,37.444922505007,127.157525451638,"{""type"":""Polygon"",""coordinates"":[[[127.15932208,37.44492251],[127.15928756,37.44464423],[127.15918532,37.44437664],[127.1590193,37.44413003],[127.15879586,37.44391387],[127.15852361,37.44373648],[127.15821299,37.44360466],[127.15787596,37.44352349],[127.15752545,37.44349608],[127.15717495,37.44352349],[127.15683791,37.44360466],[127.1565273,37.44373648],[127.15625504,37.44391387],[127.15603161,37.44413003],[127.15586558,37.44437664],[127.15576334,37.44464423],[127.15572882,37.44492251],[127.15576334,37.44520078],[127.15586558,37.44546837],[127.15603161,37.44571497],[127.15625504,37.44593112],[127.1565273,37.44610852],[127.15683791,37.44624033],[127.15717495,37.4463215],[127.15752545,37.4463489],[127.15787596,37.4463215],[127.15821299,37.44624033],[127.15852361,37.44610852],[127.15879586,37.44593112],[127.1590193,37.44571497],[127.15918532,37.44546837],[127.15928756,37.44520078],[127.15932208,37.44492251]]]}",25
성남시,2022,보행노인사고다발지,6831300,2023057,4113310100,41133002,경기 성남시 중원구2,경기 성남시 중원구 성남동(성남시 전북도민회관 부근),5,5,0,5,0,0,37.430636044239,127.128407664988,"{""type"":""Polygon"",""coordinates"":[[[127.1302043,37.43063604],[127.13016977,37.43035771],[127.13006754,37.43009007],[127.12990151,37.42984342],[127.12967807,37.42962722],[127.12940582,37.42944979],[127.12909521,37.42931795],[127.12875817,37.42923676],[127.12840766,37.42920934],[127.12805716,37.42923676],[127.12772012,37.42931795],[127.12740951,37.42944979],[127.12713726,37.42962722],[127.12691382,37.42984342],[127.12674779,37.43009007],[127.12664556,37.43035771],[127.12661103,37.43063604],[127.12664556,37.43091438],[127.12674779,37.43118201],[127.12691382,37.43142866],[127.12713726,37.43164486],[127.12740951,37.43182228],[127.12772012,37.43195412],[127.12805716,37.4320353],[127.12840766,37.43206272],[127.12875817,37.4320353],[127.12909521,37.43195412],[127.12940582,37.43182228],[127.12967807,37.43164486],[127.12990151,37.43142866],[127.13006754,37.43118201],[127.13016977,37.43091438],[127.1302043,37.43063604]]]}",25
성남시,2022,보행어?,6812539,2023011,4113110300,41131001,경기도 성남시 수정구1,경기도 성남시 수정구 수진동(탄리사거리 부근),3,3,0,1,2,0,37.441686908057,127.136373589752,"{""type"":""Polygon"",""coordinates"":[[[127.13817022,37.44168691],[127.1381357,37.44140862],[127.13803346,37.44114102],[127.13786743,37.4408944],[127.137644,37.44067823],[127.13737174,37.44050083],[127.13706113,37.44036901],[127.13672409,37.44028783],[127.13637359,37.44026042],[127.13602308,37.44028783],[127.13568605,37.44036901],[127.13537544,37.44050083],[127.13510318,37.44067823],[127.13487975,37.4408944],[127.13471372,37.44114102],[127.13461148,37.44140862],[127.13457696,37.44168691],[127.13461148,37.4419652],[127.13471372,37.44223279],[127.13487975,37.44247941],[127.13510318,37.44269557],[127.13537544,37.44287297],[127.13568605,37.44300479],[127.13602308,37.44308596],[127.13637359,37.44311337],[127.13672409,37.44308596],[127.13706113,37.44300479],[127.13737174,37.44287297],[127.137644,37.44269557],[127.13786743,37.44247941],[127.13803346,37.44223279],[127.1381357,37.4419652],[127.13817022,37.44168691]]]}",7
성남시,2022,보행어?,6812539,2023011,4113110300,41131001,경기도 성남시 수정구1,경기도 성남시 수정구 수진동(탄리사거리 부근),3,3,0,1,2,0,37.441686908057,127.136373589573,"{""type"":""MultiPolygon"",""coordinates"":[[[[127.13817022,37.44168691],[127.1381357,37.44140862],[127.13803346,37.44114102],[127.13786743,37.4408944],[127.137644,37.44067823],[127.13737174,37.44050083],[127.13706113,37.44036901],[127.13672409,37.44028783],[127.13637359,37.44026042],[127.13602308,37.44028783],[127.13568605,37.44036901],[127.13537544,37.44050083],[127.13510318,37.44067823],[127.13487975,37.4408944],[127.13471372,37.44114102],[127.13461148,37.44140862],[127.13457696,37.44168691],[127.13461148,37.4419652],[127.13471372,37.44223279],[127.13487975,37.44247941],[127.13510318,37.44269557],[127.13537544,37.44287297],[127.13568605,37.44300479],[127.13602308,37.44308596],[127.13637359,37.44311337],[127.13672409,37.44308596],[127.13706113,37.44300479],[127.13737174,37.44287297],[127.137644,37.44269557],[127.13786743,37.44247941],[127.13803346,37.44223279],[127.1381357,37.4419652],[127.13817022,37.44168691]]]]}",7
성남시,2022,보행어?,6814056,2023011,4113510500,41135001,경기도 성남시 분당구1,경기도 성남시 분당구 서현동(분당초교 부근),3,3,0,0,1,2,37.37835712788,127.132042070653,"{""type"":""MultiPolygon"",""coordinates"":[[[[127.1338387,37.37835713],[127.13380418,37.3780786],[127.13370194,37.37781078],[127.13353591,37.37756395],[127.13331248,37.3773476],[127.13304023,37.37717004],[127.13272961,37.37703811],[127.13239258,37.37695687],[127.13204207,37.37692943],[127.13169157,37.37695687],[127.13135453,37.37703811],[127.13104392,37.37717004],[127.13077166,37.3773476],[127.13054823,37.37756395],[127.1303822,37.37781078],[127.13027996,37.3780786],[127.13024544,37.37835713],[127.13027996,37.37863565],[127.1303822,37.37890348],[127.13054823,37.3791503],[127.13077166,37.37936664],[127.13104392,37.37954419],[127.13135453,37.37967612],[127.13169157,37.37975736],[127.13204207,37.3797848],[127.13239258,37.37975736],[127.13272961,37.37967612],[127.13304023,37.37954419],[127.13331248,37.37936664],[127.13353591,37.3791503],[127.13370194,37.37890348],[127.13380418,37.37863565],[127.1338387,37.37835713]]]]}",1
성남시,2022,보행어?,6812539,2023011,4113110300,41131001,경기도 성남시 수정구1,경기도 성남시 수정구 수진동(탄리사거리 부근),3,3,0,1,2,0,37.441686908057,127.136373589573,"{""type"":""MultiPolygon"",""coordinates"":[[[[127.13817022,37.44168691],[127.1381357,37.44140862],[127.13803346,37.44114102],[127.13786743,37.4408944],[127.137644,37.44067823],[127.13737174,37.44050083],[127.13706113,37.44036901],[127.13672409,37.44028783],[127.13637359,37.44026042],[127.13602308,37.44028783],[127.13568605,37.44036901],[127.13537544,37.44050083],[127.13510318,37.44067823],[127.13487975,37.4408944],[127.13471372,37.44114102],[127.13461148,37.44140862],[127.13457696,37.44168691],[127.13461148,37.4419652],[127.13471372,37.44223279],[127.13487975,37.44247941],[127.13510318,37.44269557],[127.13537544,37.44287297],[127.13568605,37.44300479],[127.13602308,37.44308596],[127.13637359,37.44311337],[127.13672409,37.44308596],[127.13706113,37.44300479],[127.13737174,37.44287297],[127.137644,37.44269557],[127.13786743,37.44247941],[127.13803346,37.44223279],[127.1381357,37.4419652],[127.13817022,37.44168691]]]]}",7
성남시,2022,보행어?,6814056,2023011,4113510500,41135001,경기도 성남시 분당구1,경기도 성남시 분당구 서현동(분당초교 부근),3,3,0,0,1,2,37.37835712788,127.132042070653,"{""type"":""MultiPolygon"",""coordinates"":[[[[127.1338387,37.37835713],[127.13380418,37.3780786],[127.13370194,37.37781078],[127.13353591,37.37756395],[127.13331248,37.3773476],[127.13304023,37.37717004],[127.13272961,37.37703811],[127.13239258,37.37695687],[127.13204207,37.37692943],[127.13169157,37.37695687],[127.13135453,37.37703811],[127.13104392,37.37717004],[127.13077166,37.3773476],[127.13054823,37.37756395],[127.1303822,37.37781078],[127.13027996,37.3780786],[127.13024544,37.37835713],[127.13027996,37.37863565],[127.1303822,37.37890348],[127.13054823,37.3791503],[127.13077166,37.37936664],[127.13104392,37.37954419],[127.13135453,37.37967612],[127.13169157,37.37975736],[127.13204207,37.3797848],[127.13239258,37.37975736],[127.13272961,37.37967612],[127.13304023,37.37954419],[127.13331248,37.37936664],[127.13353591,37.3791503],[127.13370194,37.37890348],[127.13380418,37.37863565],[127.1338387,37.37835713]]]]}",1
성남시,2022,보행어?,6814056,2023011,4113510500,41135001,경기도 성남시 분당구1,경기도 성남시 분당구 서현동(분당초교 부근),3,3,0,0,1,2,37.37835712788,127.132042070834,"{""type"":""Polygon"",""coordinates"":[[[127.1338387,37.37835713],[127.13380418,37.3780786],[127.13370194,37.37781078],[127.13353591,37.37756395],[127.13331248,37.3773476],[127.13304023,37.37717004],[127.13272961,37.37703811],[127.13239258,37.37695687],[127.13204207,37.37692943],[127.13169157,37.37695687],[127.13135453,37.37703811],[127.13104392,37.37717004],[127.13077166,37.3773476],[127.13054823,37.37756395],[127.1303822,37.37781078],[127.13027996,37.3780786],[127.13024544,37.37835713],[127.13027996,37.37863565],[127.1303822,37.37890348],[127.13054823,37.3791503],[127.13077166,37.37936664],[127.13104392,37.37954419],[127.13135453,37.37967612],[127.13169157,37.37975736],[127.13204207,37.3797848],[127.13239258,37.37975736],[127.13272961,37.37967612],[127.13304023,37.37954419],[127.13331248,37.37936664],[127.13353591,37.3791503],[127.13370194,37.37890348],[127.13380418,37.37863565],[127.1338387,37.37835713]]]}",1
