지역,호선명,상/하행,월,등교_07_08,등교_08_09,하교_15_16,하교_16_17,하교_17_18,등교시간_합계,하교시간_합계,전일합계_평균,관측일수
경기 광주 초월읍,일반국도 3호선,상행,3,1686.0,1801.5,3263.7,3280.9,3196.7,3487.5,9741.3,42957.2,23
경기 광주 초월읍,일반국도 3호선,상행,4,1922.0,1984.1,3315.6,3256.5,3102.0,3906.0,9674.0,45770.5,23
경기 광주 초월읍,일반국도 3호선,상행,5,1864.5,1975.7,3280.6,3234.8,3084.0,3840.2,9599.4,46804.3,23
경기 광주 초월읍,일반국도 3호선,상행,6,1804.3,1955.3,3223.9,3213.7,3135.1,3759.7,9572.7,47173.1,23
경기 광주 초월읍,일반국도 3호선,상행,7,1911.4,1948.8,3103.1,3030.1,2963.4,3860.2,9096.6,43882.3,23
경기 광주 초월읍,일반국도 3호선,하행,1,3357.7,3395.7,3430.4,3382.6,3153.7,6753.5,9966.7,52486.1,55
경기 광주 초월읍,일반국도 3호선,하행,2,3685.7,3758.5,3730.2,3651.2,3400.2,7444.2,10781.7,59073.8,50
경기 광주 초월읍,일반국도 3호선,하행,3,3776.0,3759.8,3606.2,3478.6,3293.9,7535.8,10378.7,59319.1,55
경기 광주 초월읍,일반국도 3호선,하행,4,4176.2,4006.1,3755.0,3634.5,3396.8,8182.3,10786.3,64663.3,51
경기 광주 초월읍,일반국도 3호선,하행,5,4072.1,4006.7,3696.2,3612.5,3359.9,8078.8,10668.7,64817.3,56
경기 광주 초월읍,일반국도 3호선,하행,6,3957.0,3926.4,3808.6,3706.5,3484.8,7883.5,10999.9,66110.6,51
경기 광주 초월읍,일반국도 3호선,하행,7,4035.5,3893.1,3645.7,3503.3,3308.2,7928.6,10457.2,62472.1,56
경기 용인 처인 동부동,일반국도 42호선,상행,1,1784.5,1675.0,1491.9,1482.9,1447.6,3459.5,4422.4,24926.9,31
경기 용인 처인 동부동,일반국도 42호선,상행,2,1697.5,1661.3,1541.2,1479.9,1527.0,3358.8,4548.0,25261.6,29
경기 용인 처인 동부동,일반국도 42호선,상행,3,1791.8,1743.0,1557.1,1519.3,1489.2,3534.7,4565.6,26417.6,31
경기 용인 처인 동부동,일반국도 42호선,상행,4,1895.3,1753.7,1511.2,1463.5,1449.5,3649.0,4424.2,26879.9,30
경기 용인 처인 동부동,일반국도 42호선,하행,1,1880.7,2138.3,2526.2,2608.0,2777.9,4019.0,7912.1,37413.4,62
경기 용인 처인 동부동,일반국도 42호선,하행,2,1806.5,2086.1,2587.2,2656.7,2862.5,3892.6,8106.4,38434.3,58
경기 용인 처인 동부동,일반국도 42호선,하행,3,1995.9,2278.9,2675.1,2754.6,2979.9,4274.8,8409.6,40073.6,62
경기 용인 처인 동부동,일반국도 42호선,하행,4,2108.1,2390.4,2563.5,2616.6,2864.4,4498.5,8044.5,40692.9,60
경기 용인 처인 모현면,일반국도 45호선,상행,1,593.3,635.4,846.5,896.6,941.7,1228.7,2684.8,12301.3,31
경기 용인 처인 모현면,일반국도 45호선,상행,2,557.6,606.7,849.3,895.1,924.2,1164.3,2668.6,12219.0,29
경기 용인 처인 모현면,일반국도 45호선,상행,3,639.9,670.9,889.1,953.5,986.0,1310.8,2828.6,13129.5,31
경기 용인 처인 모현면,일반국도 45호선,상행,4,679.8,698.5,898.4,971.7,1016.4,1378.3,2886.5,13638.3,30
경기 용인 처인 모현면,일반국도 45호선,상행,5,671.1,681.3,883.3,959.4,980.7,1352.4,2823.4,13459.2,31
경기 용인 처인 모현면,일반국도 45호선,하행,1,1159.8,1217.6,1279.2,1392.7,1427.4,2377.5,4099.2,19592.2,62
경기 용인 처인 모현면,일반국도 45호선,하행,2,1079.5,1185.7,1280.1,1372.7,1401.9,2265.2,4054.7,19545.9,58
경기 용인 처인 모현면,일반국도 45호선,하행,3,1211.0,1302.4,1357.7,1491.8,1518.9,2513.4,4368.4,21159.8,62
경기 용인 처인 모현면,일반국도 45호선,하행,4,1288.3,1377.4,1373.4,1495.7,1540.3,2665.7,4409.4,21949.7,60
경기 용인 처인 모현면,일반국도 45호선,하행,5,1275.8,1352.8,1358.3,1490.4,1512.4,2628.6,4361.1,21698.6,62
경기 용인 처인 양지면,일반국도 42호선,상행,1,1116.4,1284.4,866.5,846.7,942.0,2400.8,2655.2,14929.2,31
경기 용인 처인 양지면,일반국도 42호선,상행,2,1042.4,1224.2,873.2,829.7,909.2,2266.6,2612.1,14558.6,29
경기 용인 처인 양지면,일반국도 42호선,상행,3,1128.0,1280.1,905.5,873.8,950.7,2408.0,2730.0,15331.0,31
경기 용인 처인 양지면,일반국도 42호선,상행,4,1199.5,1340.0,926.4,906.9,985.8,2539.5,2819.2,16015.3,30
경기 용인 처인 양지면,일반국도 42호선,상행,5,1182.4,1298.8,918.0,915.1,972.0,2481.2,2805.2,15891.1,31
