시설물명,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,동,발생건수,사상자수,사망및중상자수,사망자수,중상자수,경상자수,총인구수,0~4세,5~9세,10~14세,어린이 총인구,어린이 비율(%),p_wide,p_narrow,p_barrier_yes,p_barrier_no,road_width_relative,sidewalk_ratio,parked_density,accident_label,structure_risk,risk_prob,risk_score,safety_score,safety_grade
늘푸른초등학교,37.358334,127.105671,5,9,16,1,10,6,4,2,5,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0.91146886,0.0894402,0.8554052,0.14476672,0.4587278,0.223351957663398,0,0,0.5093065605206066,0.0005453177722724582,0.05453177722724582,99.94546822277276,A
보평초등학교,37.396039,127.117758,5,15,16,2,8,17,7,1,4,삼평동,0,0,0,0,0,0,23593,923,1095,1366,3384,14.343237400924004,0.9008262,0.098811775,0.9568554,0.044025272,0.47189045,0.325572188685869,0,0,0.4144717706945638,0.0006741034660743849,0.0674103466074385,99.93258965339257,A
운중초등학교,37.392419,127.06894,7,30,34,2,16,23,4,1,7,운중동,0,0,0,0,0,0,38266,2013,2153,2153,6319,16.51335389118277,0.31046176,0.6912914,0.52647513,0.47399962,0.3889377,0.2346632299911375,0,0,0.2136882687316799,0.0005456411949908847,0.054564119499088466,99.94543588050091,A
낙생초등학교,37.394357,127.098914,7,14,23,2,15,19,13,1,7,판교동,0,0,0,0,0,0,26365,1085,1499,2016,4600,17.447373411720083,0.9003775,0.10142219,0.9568949,0.043920964,0.36399183,0.2949231617538492,0,0,0.3812372713663766,0.0013816097825651483,0.13816097825651483,99.86183902174349,A
신백현초등학교,37.387579,127.111751,5,8,35,0,16,22,6,2,6,백현동,0,0,0,0,0,0,26316,731,937,1551,3219,12.232102143182855,0.76931393,0.23522204,0.8816756,0.11895573,0.19808236,0.23671822428702,0,0,0.2807475523939751,0.005563147941910148,0.5563147941910148,99.44368520580899,B
성남은행초등학교,37.461002,127.170901,3,10,2,1,23,11,1,1,3,은행동,0,0,0,0,0,0,30267,400,549,880,1829,6.042884990253411,0.30465794,0.70025045,0.37877887,0.6227013,0.47128093,0.1839698314629286,2,0,0.3716479791868452,0.17123015322011367,17.123015322011366,82.87698467798863,D
성남중앙초등학교,37.436255,127.143529,6,16,13,5,13,16,5,1,6,성남동,0,0,0,0,0,0,31835,480,451,702,1633,5.129574367834145,0.1751858,0.8273268,0.050835103,0.9498756,0.28582168,0.0,2,0,0.4439187961687897,0.00541342944993742,0.541342944993742,99.45865705500626,B
단남초등학교,37.442905,127.161374,5,17,30,10,21,38,15,1,6,금광동,0,0,0,0,0,0,43046,1564,1577,1276,4417,10.261116015425358,0.9644876,0.035728455,0.9015237,0.0989123,0.37652028,0.2257974644842032,0,0,0.4924344896894049,0.7452209401015046,74.52209401015047,25.477905989849532,D
대일초등학교,37.438468,127.164185,1,6,15,1,15,37,1,1,1,상대원동,0,0,0,0,0,0,36419,596,682,1083,2361,6.4828798154809295,0.1307714,0.87021273,0.116161525,0.88304245,0.39697415,0.0,1,0,0.3796368706605109,0.7460185582312637,74.60185582312637,25.39814417687363,D
대하초등학교,37.431908,127.151304,2,8,12,1,17,14,2,1,2,하대원동,0,0,0,0,0,0,19542,468,503,691,1662,8.504758980657048,0.9787874,0.02112773,0.86955065,0.13060194,0.3942126,0.278807539948308,2,0,0.577030241209246,0.05370355534105804,5.370355534105804,94.6296444658942,C
성남북초등학교,37.4515,127.151474,4,22,22,6,28,23,10,3,5,산성동,0,0,0,0,0,0,4421,56,110,142,308,6.966749604161953,0.5309843,0.47318122,0.862272,0.13390565,0.41552716,0.0,0,0,0.2443604836352726,0.059223171532404834,5.922317153240483,94.07768284675952,C
성남수정초등학교,37.436212,127.132786,5,5,31,0,8,33,6,1,5,수진동,0,0,0,0,0,0,25109,262,346,538,1146,4.564100521725278,0.4271981,0.57429206,0.82671666,0.1703771,0.27562046,0.2183011749178035,1,0,0.1520461330051054,0.0320158569057754,3.20158569057754,96.79841430942245,C
수진초등학교,37.444944,127.133465,6,18,26,1,38,40,8,4,5,태평동,0,0,0,0,0,0,49641,576,704,1160,2440,4.915291795088737,0.086028844,0.914101,0.23287302,0.7675667,0.39732486,0.0,2,0,0.3040565869614723,0.6127758639946269,61.27758639946269,38.72241360053731,D
성남서초등학교,37.448545,127.129403,7,6,14,2,10,16,7,1,6,태평동,0,0,0,0,0,0,49641,576,704,1160,2440,4.915291795088737,0.65698427,0.3449471,0.61983776,0.37722027,0.43095735,0.2465784087663328,0,0,0.42612824606928,0.005133667732697062,0.5133667732697061,99.48663322673029,B
위례푸른초등학교,37.470731,127.150981,0,11,22,3,25,8,6,1,0,위례동,3,3,1,0,1,1,45473,1745,2348,2732,6825,15.008906384008093,0.91638047,0.086423695,0.8557311,0.14519912,0.3836952,0.2011574881976832,0,1,0.4897086666732355,0.5922365815212586,59.22365815212586,40.77634184787414,D
금상초등학교,37.443599,127.165995,5,10,8,8,15,41,12,2,3,금광동,0,0,0,0,0,0,43046,1564,1577,1276,4417,10.261116015425358,0.7747913,0.22889972,0.7655672,0.23762462,0.3978011,0.211269762177006,0,0,0.4294578004274523,0.676801716245213,67.68017162452131,32.31982837547869,D
상원초등학교,37.453884,127.162776,4,15,27,4,13,28,5,2,4,은행동,0,0,0,0,0,0,30267,400,549,880,1829,6.042884990253411,0.2390905,0.76478004,0.41150194,0.58714235,0.4521258,0.0,0,0,0.286475134398492,0.02272212040171597,2.2722120401715973,97.7277879598284,B
불정초등학교,37.361254,127.119496,6,2,10,2,8,13,2,1,4,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0.9829593,0.016521692,0.90074426,0.098689705,0.41289324,0.2545338290088479,0,0,0.5156728965143489,0.021953999392783318,2.1953999392783317,97.80460006072167,B
상탑초등학교,37.406207,127.145695,5,6,22,1,27,9,5,2,4,야탑동,0,0,0,0,0,0,58707,1716,1822,2214,5752,9.797809460541332,0.99454474,0.005599797,0.9093114,0.09111637,0.45349944,0.0,0,0,0.5997970669908342,0.1546373141786332,15.463731417863318,84.53626858213669,D
서현초등학교,37.382576,127.12855,4,8,10,1,13,11,2,1,5,서현동,0,0,0,0,0,0,47922,1009,1736,2942,5687,11.867200868077292,0.5481838,0.45280313,0.30093825,0.6984401,0.40504596,0.0,3,0,0.6719398966724751,0.0038167037834641393,0.38167037834641393,99.61832962165359,A
성남장안초등학교,37.372662,127.144459,4,10,20,1,22,15,1,1,4,분당동,0,0,0,0,0,0,24396,533,807,1282,2622,10.74766355140187,0.06789851,0.9301393,0.4178446,0.5826516,0.2841161,0.0,0,0,0.1442216269888979,0.1695711260235625,16.95711260235625,83.04288739764375,D
안말초등학교,37.393154,127.125984,7,6,24,2,15,15,11,1,7,이매동,0,0,0,0,0,0,37333,1021,1472,2187,4680,12.535826212734042,0.3816892,0.60947603,0.16165358,0.83209586,0.0,0.0,1,0,0.4097711854192926,0.007596991937974418,0.7596991937974418,99.24030080620255,B
야탑초등학교,37.416616,127.125627,6,3,21,6,15,11,7,1,6,야탑동,0,0,0,0,0,0,58707,1716,1822,2214,5752,9.797809460541332,0.98212826,0.018040478,0.9321525,0.06934598,0.4326257,0.3002523810115999,0,0,0.4906867434383821,0.11642674366857467,11.642674366857467,88.35732563314254,C
오리초등학교,37.344351,127.115379,4,9,7,1,12,9,11,2,4,구미동,0,0,0,0,0,0,44070,1127,1239,1811,4177,9.478103017926026,0.97308314,0.027836382,0.74574506,0.25445956,0.4843532,0.0,0,0,0.6902505040985666,0.00046833581590478135,0.04683358159047814,99.95316641840952,A
청솔초등학교,37.354657,127.1141,5,6,8,1,9,6,6,1,4,금곡동,0,0,0,0,0,0,26767,673,828,1002,2503,9.35106661187283,0.9793891,0.020708472,0.9292588,0.07046813,0.44545698,0.052151009559915,0,0,0.558471648471281,0.0009829098811384226,0.09829098811384225,99.90170901188615,A
당촌초등학교,37.373689,127.131262,5,2,13,1,5,8,4,1,5,분당동,0,0,0,0,0,0,24396,533,807,1282,2622,10.74766355140187,0.38491774,0.62199783,0.31918192,0.68697894,0.40496612,0.0,0,0,0.4388399953533152,0.000729765911430886,0.0729765911430886,99.92702340885691,A
한솔초등학교,37.366777,127.118015,3,1,9,1,3,13,0,1,1,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0.073461264,0.9280616,0.14458534,0.8557093,0.36739781,0.0,2,0,0.3340132714023885,0.029420047002205185,2.9420047002205187,97.05799529977948,B
수내초등학교,37.367765,127.124663,3,6,11,1,7,14,9,2,3,수내동,0,0,0,0,0,0,41451,627,2068,3457,6152,14.841620226291283,0.9975542,0.0024609566,0.9294025,0.06953314,0.5347605,0.280048857175776,0,0,0.5506192837731253,0.0008044942397262217,0.08044942397262217,99.91955057602738,A
성남송현초등학교,37.405458,127.116346,4,9,38,3,14,8,4,1,6,삼평동,0,0,0,0,0,0,23593,923,1095,1366,3384,14.343237400924004,0.7186433,0.28296587,0.93734926,0.06215629,0.4808179,0.166043499817932,0,0,0.3219317630280314,0.004485653769556541,0.44856537695565407,99.55143462304434,A
판교초등학교,37.387282,127.091443,5,15,26,1,17,16,9,1,5,판교동,0,0,0,0,0,0,26365,1085,1499,2016,4600,17.447373411720083,0.4118662,0.5882482,0.5440995,0.4608934,0.4410699,0.0,0,0,0.3368227302865644,0.003588877514518887,0.3588877514518887,99.64111224854811,A
성남동초등학교,37.449215,127.162178,1,16,15,0,18,25,4,1,1,금광동,0,0,0,0,0,0,43046,1564,1577,1276,4417,10.261116015425358,0.08361152,0.91735137,0.062282324,0.9378862,0.0,0.0,2,0,0.2657083401408613,0.14309123868406246,14.309123868406246,85.69087613159375,C
태평초등학교,37.444953,127.131694,9,19,32,2,31,38,10,4,9,태평동,0,0,0,0,0,0,49641,576,704,1160,2440,4.915291795088737,0.023994982,0.97660786,0.06073153,0.9401377,0.40443867,0.0,0,0,0.3053983086942211,0.025423175429675555,2.5423175429675555,97.45768245703245,B
성수초등학교,37.433766,127.127238,3,5,8,5,3,29,3,1,3,수진동,0,0,0,0,0,0,25109,262,346,538,1146,4.564100521725278,0.16070604,0.8375927,0.13041168,0.86775684,0.30538607,0.0,2,0,0.3893524614685629,0.05943920612677482,5.943920612677482,94.05607938732251,C
금빛초등학교,37.447331,127.140567,5,17,22,2,22,64,3,1,5,태평동,3,3,0,0,0,3,49641,576,704,1160,2440,4.915291795088737,0.2656963,0.7407607,0.08267254,0.9189594,0.38173008,0.0570728166818501,0,1,0.4649793393131232,0.9285078864422328,92.85078864422329,7.149211355776714,D
성남초등학교,37.446085,127.144145,7,12,30,3,16,40,5,2,5,태평동,0,0,0,0,0,0,49641,576,704,1160,2440,4.915291795088737,0.12234968,0.877164,0.1552693,0.8450694,0.4045322,0.0,3,0,0.4076914431366799,0.14328587865660014,14.328587865660014,85.67141213433999,C
검단초등학교,37.429483,127.144034,4,15,8,1,11,20,5,1,4,하대원동,0,0,0,0,0,0,19542,468,503,691,1662,8.504758980657048,0.09956941,0.9021256,0.036631048,0.9626555,0.41032642,0.0,3,0,0.4659180423204207,0.001942162400318562,0.1942162400318562,99.80578375996815,A
서당초등학교,37.374602,127.134587,4,7,35,2,16,13,4,1,4,서현동,0,0,0,0,0,0,47922,1009,1736,2942,5687,11.867200868077292,0.69857645,0.31184378,0.59141445,0.41746542,0.0,0.2254009020283098,0,0,0.324631814447864,0.07066989490867677,7.066989490867677,92.93301050913232,C
성남정자초등학교,37.374517,127.104912,2,6,6,2,4,2,2,1,2,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0.94132876,0.059459895,0.7911638,0.21057674,0.41141486,0.237616898841296,0,0,0.5541325344610198,0.0020317382775468583,0.20317382775468582,99.79682617224532,A
양영초등학교,37.37466,127.140091,3,13,29,1,28,19,1,1,3,서현동,0,0,0,0,0,0,47922,1009,1736,2942,5687,11.867200868077292,0.01119861,0.98877096,0.026031673,0.97423303,0.0,0.0,2,0,0.2364637941732467,0.7136733972718114,71.36733972718115,28.632660272818853,D
초림초등학교,37.376826,127.117592,0,2,7,1,12,13,3,1,0,수내동,0,0,0,0,0,0,41451,627,2068,3457,6152,14.841620226291283,0.37672514,0.6340346,0.47137552,0.5372518,0.0,0.0,1,0,0.2347379250355948,0.21093161576606453,21.09316157660645,78.90683842339355,D
판교대장초등학교,37.368279,127.069713,0,16,33,2,34,24,11,0,0,운중동,0,0,0,0,0,0,38266,2013,2153,2153,6319,16.51335389118277,0.9875657,0.012482703,0.9663458,0.033768207,0.4845987,0.3239733974220959,0,0,0.4875154959425894,0.9839980692954199,98.399806929542,1.6001930704580047,D
미래유치원,37.452885,127.150066,2,14,14,4,20,18,6,2,2,산성동,0,0,0,0,0,0,4421,56,110,142,308,6.966749604161953,0.38155922,0.6259513,0.2708698,0.726864,0.39063835,0.21170892212583,0,0,0.4080774421438701,0.07174936290546391,7.174936290546391,92.82506370945362,C
성체유치원,37.439656,127.137203,3,3,12,2,13,36,3,0,2,수진동,3,3,1,0,1,2,25109,262,346,538,1146,4.564100521725278,0.35524505,0.64842665,0.2945025,0.71078897,0.0,0.0,0,1,0.2856012776623732,0.8814871791141424,88.14871791141424,11.851282088585762,D
신흥성모유치원,37.449077,127.143242,11,14,26,4,28,51,7,1,9,신흥동,3,3,0,0,0,3,54351,1844,1692,1524,5060,9.309856304391824,0.020736039,0.97985476,0.046471387,0.9544039,0.26241893,0.0,1,1,0.2890332708454133,0.9227506141318221,92.27506141318221,7.724938586817785,D
은솔유치원,37.467824,127.138154,0,12,2,4,6,14,6,0,0,위례동,0,0,0,0,0,0,45473,1745,2348,2732,6825,15.008906384008093,0.90529144,0.093102366,0.50662965,0.49109992,0.44749904,0.210243079339509,1,0,0.7369772065942076,0.021401591834200262,2.1401591834200264,97.85984081657998,B
위례새초롱유치원,37.469683,127.147866,0,17,28,2,29,14,7,2,0,위례동,0,0,0,0,0,0,45473,1745,2348,2732,6825,15.008906384008093,0.83339345,0.16824618,0.6105318,0.39300042,0.39254397,0.0,0,0,0.6285915630792808,0.30853032038753453,30.853032038753454,69.14696796124655,D
위례하늘유치원,37.467037,127.151134,0,7,12,1,11,10,5,0,0,위례동,0,0,0,0,0,0,45473,1745,2348,2732,6825,15.008906384008093,0.655385,0.3464185,0.8163206,0.18346635,0.3813999,0.273937444266227,0,0,0.2857832577916715,0.1243877044358401,12.43877044358401,87.561229556416,C
고등나래 유치원,37.426969,127.096496,0,5,11,4,10,17,6,1,0,고등동,0,0,0,0,0,0,11797,552,609,383,1544,13.088073238959058,0.14380139,0.86027074,0.31712264,0.6831179,0.4720374,0.22290336191,0,0,0.2325277012930718,0.14990209351686595,14.990209351686595,85.00979064831341,D
은서유치원,37.443605,127.134977,5,9,13,3,29,36,7,2,5,태평동,3,3,1,0,1,2,49641,576,704,1160,2440,4.915291795088737,0.04201415,0.9587014,0.044731587,0.9557439,0.34907869,0.0,0,1,0.3089882720946019,0.9000164618761075,90.00164618761075,9.998353812389254,D
선경유치원,37.450411,127.162262,1,17,27,3,22,25,6,2,1,은행동,0,0,0,0,0,0,30267,400,549,880,1829,6.042884990253411,0.09554851,0.90598655,0.06489715,0.9350058,0.0,0.0,5,0,0.347837026151896,0.2608884405970987,26.08884405970987,73.91115594029013,D
예원유치원,37.435032,127.143201,5,12,12,2,14,17,5,1,5,성남동,0,0,0,0,0,0,31835,480,451,702,1633,5.129574367834145,0.6639563,0.33965766,0.8916637,0.110121995,0.4213501,0.2475276191442159,0,0,0.2706077149496528,0.012336192124794138,1.2336192124794139,98.76638078752059,B
다솜유치원,37.447962,127.163685,3,15,11,1,19,35,4,1,3,금광동,0,0,0,0,0,0,43046,1564,1577,1276,4417,10.261116015425358,0.3050911,0.692434,0.1097514,0.8886798,0.4214756,0.0,2,0,0.5699517944810422,0.20538381858452037,20.538381858452038,79.46161814154796,D
도촌유치원,37.413897,127.149775,5,6,20,1,7,13,5,0,5,도촌동,0,0,0,0,0,0,25878,714,1005,1359,3078,11.894273127753303,0.99712646,0.0028618574,0.9415245,0.05839309,0.39627814,0.252751853602215,1,0,0.5249592528015188,0.0025713897296428833,0.25713897296428834,99.74286102703572,A
아름다운유치원,37.367591,127.125773,3,6,10,1,6,14,9,2,3,수내동,0,0,0,0,0,0,41451,627,2068,3457,6152,14.841620226291283,0.8261675,0.17346206,0.75066227,0.25288042,0.44311714,0.0,2,0,0.6116377852940351,0.0005195889068237175,0.05195889068237176,99.94804110931763,A
안촌 유치원,37.368171,127.110392,4,7,12,2,11,18,0,1,3,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0.81449777,0.18256715,0.4406104,0.55422115,0.35172606,0.0,3,0,0.7666962932242953,0.03792149291758343,3.7921492917583426,96.20785070824165,C
세화유치원,37.372737,127.136164,5,6,37,1,22,11,3,1,5,서현동,0,0,0,0,0,0,47922,1009,1736,2942,5687,11.867200868077292,0.55395615,0.4510649,0.42111734,0.57115257,0.46937484,0.0,1,0,0.5723055491589909,0.09628977684935518,9.628977684935517,90.37102231506448,C
분당중앙유치원,37.373451,127.141671,4,15,29,3,34,21,2,2,4,서현동,0,0,0,0,0,0,47922,1009,1736,2942,5687,11.867200868077292,0.99582565,0.00424096,0.95115435,0.047694087,0.36275086,0.198122436058392,0,0,0.4890754805777906,0.7537389075325647,75.37389075325646,24.62610924674354,D
꿈터 유치원,37.347269,127.113122,2,7,18,2,14,15,10,2,4,구미동,0,0,0,0,0,0,44070,1127,1239,1811,4177,9.478103017926026,0.24055097,0.7617539,0.34469795,0.65525484,0.18739492,0.0,2,0,0.2864248102394914,0.011344109234128463,1.1344109234128463,98.86558907658716,B
배성유치원,37.405999,127.142401,3,6,17,1,17,8,2,2,2,야탑동,0,0,0,0,0,0,58707,1716,1822,2214,5752,9.797809460541332,0.37325287,0.6280198,0.6127565,0.3843397,0.33800584,0.229659997846536,0,0,0.2003809351510842,0.06192461651343579,6.192461651343579,93.80753834865642,C
이솔유치원,37.352756,127.112602,5,8,12,2,14,9,5,1,5,금곡동,0,0,0,0,0,0,26767,673,828,1002,2503,9.35106661187283,0.66944146,0.3313627,0.6279649,0.37697843,0.39841592,0.0,0,0,0.4815017225827618,0.005071812399719186,0.5071812399719186,99.49281876002809,A
성모 유치원,37.340099,127.124419,1,2,4,0,4,7,0,0,1,구미동,0,0,0,0,0,0,44070,1127,1239,1811,4177,9.478103017926026,0.888423,0.11298841,0.8460468,0.15436736,0.40680456,0.288430356141368,0,0,0.4586697472703864,0.012505823512092562,1.2505823512092562,98.74941764879074,B
판교샘유치원,37.392021,127.072039,2,19,9,0,15,19,1,1,4,운중동,0,0,0,0,0,0,38266,2013,2153,2153,6319,16.51335389118277,0.07765913,0.92283607,0.06644943,0.93289155,0.21290633,0.0,1,0,0.3029972271609952,0.0037823174685324076,0.3782317468532408,99.62176825314675,A
건영장안유치원,37.371127,127.140849,6,18,30,1,30,15,9,0,6,분당동,0,0,0,0,0,0,24396,533,807,1282,2622,10.74766355140187,0.1842424,0.8187193,0.12299645,0.8749206,0.38415602,0.0,2,0,0.4435342196094893,0.1379463596762822,13.794635967628219,86.20536403237178,C
뽀뽀뽀유치원,37.415425,127.138017,6,14,39,2,12,9,4,1,6,야탑동,0,0,0,0,0,0,58707,1716,1822,2214,5752,9.797809460541332,0.15961808,0.84492147,0.24997303,0.7507262,0.333022,0.0,0,0,0.2778648787380428,0.001936853711612724,0.19368537116127238,99.80631462883873,A
창조유치원,37.359154,127.124992,1,4,0,0,10,30,0,0,1,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0.2266731,0.7788693,0.28217384,0.7208257,0.39424032,0.0,1,0,0.3557377453545404,0.6573140047505597,65.73140047505596,34.26859952494404,D
해나유치원,37.390831,127.09829,5,12,17,1,17,18,2,0,4,판교동,0,0,0,0,0,0,26365,1085,1499,2016,4600,17.447373411720083,0.15227687,0.8489685,0.17742777,0.8216609,0.47309187,0.0,1,0,0.3878484115457625,0.05174907315755311,5.174907315755311,94.8250926842447,C
꾸러기유치원,37.403847,127.127335,3,4,19,1,10,9,4,0,3,이매동,0,0,0,0,0,0,37333,1021,1472,2187,4680,12.535826212734042,0.222085,0.77610123,0.078344196,0.9222332,0.4346437,0.0,2,0,0.5243791085126251,0.020678164123374674,2.0678164123374674,97.93218358766254,B
샛별유치원,37.371468,127.129754,2,4,6,1,4,7,4,1,2,분당동,0,0,0,0,0,0,24396,533,807,1282,2622,10.74766355140187,0.9838,0.016550034,0.7901973,0.20793894,0.4986974,0.174933839032965,0,0,0.6379822033247812,0.0008509185083797252,0.08509185083797252,99.91490814916203,A
성마르코유치원,37.410832,127.133182,4,8,6,0,17,23,8,0,6,야탑동,0,0,0,0,0,0,58707,1716,1822,2214,5752,9.797809460541332,0.27112055,0.735145,0.32435754,0.68606335,0.32539874,0.1989497213326809,1,0,0.297098030294662,0.11430681222135078,11.430681222135078,88.56931877786492,C
은혜유치원,37.360908,127.111946,5,13,11,3,11,15,0,0,6,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0.6146027,0.3934758,0.5072231,0.48510617,0.41749826,0.0,3,0,0.6064450932758414,0.013177653979170126,1.3177653979170125,98.68223460208299,B
숲리라유치원,37.469683,127.147866,0,17,28,2,29,14,7,2,0,판교동,0,0,0,0,0,0,26365,1085,1499,2016,4600,17.447373411720083,0.83339345,0.16824618,0.6105318,0.39300042,0.39254397,0.0,0,0,0.6285915630792808,0.17796917810144008,17.79691781014401,82.20308218985599,D
즐거운유치원,37.351408,127.111941,4,7,12,4,15,14,5,0,4,금곡동,0,0,0,0,0,0,26767,673,828,1002,2503,9.35106661187283,0.9450259,0.056132436,0.9025335,0.09522566,0.41538292,0.2145692891349792,0,0,0.4930856811546844,0.14501375270466363,14.501375270466363,85.49862472953363,C
희영유치원,37.388294,127.114186,7,10,35,2,16,21,8,3,7,백현동,0,0,0,0,0,0,26316,731,937,1551,3219,12.232102143182855,0.9506408,0.04945481,0.8562432,0.14715382,0.36192536,0.2290043616315,0,0,0.503227601030097,0.0008058932950467037,0.08058932950467036,99.91941067049532,A
혜성유치원,37.444509,127.160252,4,6,20,6,10,39,13,1,10,금광동,0,0,0,0,0,0,43046,1564,1577,1276,4417,10.261116015425358,0.3055244,0.70496845,0.23305568,0.76696,0.0,0.0,2,0,0.3332346724798631,0.050819016107776255,5.081901610777625,94.91809838922238,C
단대어린이집,37.449645,127.155665,5,16,19,0,23,37,8,1,8,단대동,0,0,0,0,0,0,14162,295,336,497,1128,7.964976698206468,0.7407368,0.25859377,0.60391754,0.3940317,0.40949696,0.2895791926403329,0,0,0.4885450871597162,0.03185718428695837,3.185718428695837,96.81428157130416,B
산성어린이집,37.453007,127.150387,2,15,14,4,20,19,7,2,2,산성동,0,0,0,0,0,0,4421,56,110,142,308,6.966749604161953,0.14388505,0.8560545,0.24243656,0.7571968,0.45205116,0.0,3,0,0.3893033438734135,0.0652477686485693,6.524776864856929,93.47522313514307,C
성남어린이집,37.447702,127.141485,8,19,27,4,30,67,5,3,6,태평동,3,3,0,0,0,3,49641,576,704,1160,2440,4.915291795088737,0.43321294,0.5703714,0.3302567,0.673087,0.42211992,0.0,0,1,0.4796538232218685,0.9439749801999112,94.39749801999112,5.602501980008881,D
성현어린이집,37.438454,127.138715,4,3,7,2,12,33,3,0,3,수진동,0,0,0,0,0,0,25109,262,346,538,1146,4.564100521725278,0.05173397,0.9484103,0.033171892,0.96677434,0.3360579,0.0,2,0,0.3714161966988702,0.6564470127585885,65.64470127585885,34.35529872414115,D
신흥제2어린이집,37.449202,127.144413,10,11,27,6,22,38,9,1,8,신흥동,0,0,0,0,0,0,54351,1844,1692,1524,5060,9.309856304391824,0.14384815,0.85696954,0.14761901,0.8505872,0.31277367,0.0,0,0,0.3150325323305031,0.7075322884282463,70.75322884282464,29.24677115717536,D
리플플러스어린이집,37.44181,127.128384,13,3,2,7,4,33,9,0,9,태평동,0,0,0,0,0,0,49641,576,704,1160,2440,4.915291795088737,0.063631505,0.9372442,0.013496846,0.98640364,0.37334436,0.0,1,0,0.378948022770505,0.05858306582144822,5.858306582144822,94.14169341785518,C
