시설물명,위도,경도,발생건수,accident_label,structure_risk,risk_prob,risk_prob_calibrated,safety_score,safety_grade
세교유치원,37.42002424,126.848711399,0,0,0.2600617698176376,3.4643035060765394e-05,0.014210181211905351,56.01821559701098,B
구름산초등학교,37.453765538,126.88443634,0,0,0.4354025130555569,2.8195806697960026e-07,0.014164759288944867,56.123362059969395,B
예림유치원,37.468769887,126.852729513,0,0,0.3623528026659465,3.272914483734415e-06,0.013323136832471343,58.13511812942267,B
한마음유치원,37.467165937,126.875826468,0,0,0.23683148227535314,2.3670147882263922e-06,0.012763549629646704,59.54433950600927,A
트인아이유치원,37.434968089,126.886029485,0,0,0.5869023374913439,7.2340055035841544e-06,0.011303177329153972,63.534994509724264,A
충현초등학교,37.432490073,126.884626583,0,0,0.34150811451408686,9.495739402546294e-07,0.009294749034594178,69.96007574686607,A
소하초등학교,37.447116781,126.888053937,0,0,0.4588706698529568,4.858114697627074e-10,0.006957474180526706,79.47229743452408,A
하일초등학교,37.469301665,126.876139495,0,0,0.5407820492656126,4.114062014980544e-08,0.0069250170365274845,79.6258678030361,A
안현초등학교,37.470454112,126.868184636,0,0,0.48628357278579176,2.079204011794292e-09,0.006879529739345335,79.84230569306109,A
철산초등학교,37.46984647,126.873334063,0,0,0.3623528026659465,1.7312905400247778e-08,0.006839585023228821,80.03355427223762,A
홍익어린이집,37.474168784,126.864568531,0,0,0.3623528026659465,1.6811974910753605e-08,0.006569692903936193,81.35578488233146,A
광덕초등학교,37.472941774,126.867567576,0,0,0.3623528026659465,1.1128063695030592e-10,0.0050187269752295744,90.19991708863591,A
빛가온유치원,37.416952326,126.888264888,0,0,0.5675281559998359,6.773250656526796e-09,0.004769658524005239,91.87164329900261,A
구름산어린이집,37.468178692,126.865305483,0,0,0.8039358666088768,4.4379531112000815e-09,0.004726634284907891,92.16923842421077,A
마리아어린이집,37.471790925,126.865684408,0,0,0.2877846408400738,8.293988986486111e-12,0.004355208701511898,94.85708129395137,A
빛가온초등학교,37.413689906,126.882025537,0,0,0.6123051570195911,1.492586718381715e-11,0.0037239250908714314,100.0,A
